37 | 35 | 33 | 28 | 26
38 | 33 | 30 | 28 | 25
33 | 34 | 30 | 31 | 29
45 | 30 | 27 | 28 | 19
36 | 31 | 29 | 27 | 25
44 | 40 | 37 | 33 | 28
35 | 33 | 28 | 27 | 25
34 | 29 | 28 | 26 | 24
39 | 34 | 31 | 29 | 24
38 | 36 | 33 | 29 | 25
34 | 31 | 29 | 27 | 25
35 | 31 | 29 | 25 | 22
34 | 33 | 31 | 27 | 24
35 | 32 | 31 | 28 | 26
28 | 31 | 26 | 24 | 23
33 | 27 | 26 | 26 | 26
34 | 33 | 31 | 26 | 21
40 | 32 | 31 | 31 | 30
65 | 56 | 55 | 52 | 41
29 | 27 | 26 | 26 | 24
33 | 33 | 31 | 29 | 21
35 | 33 | 30 | 25 | 22
33 | 31 | 28 | 21 | 19
36 | 32 | 26 | 21 | 18
35 | 27 | 26 | 22 | 21
