140 |  64 | 1.28 |  50 |  48 |  45
140 |  65 | 1.44 |  53 |  48 |  48
170 |  62 | 1.33 |  56 |  40 |  59
150 |  61 | 1.24 |  69 |  53 |  67
230 |  61 | 1.38 |  64 |  51 |  63
150 |  62 | 1.25 |  49 |  53 |  57
210 |  62 | 1.34 |  53 |  59 |  55
140 |  61 | 1.3 |  58 |  49 |  55
140 |  61 | 1.25 |  49 |  41 |  46
130 |  62 | 1.23 |  58 |  53 |  40
180 |  61 | 1.28 |  51 |  41 |  57
140 |  62 | 1.25 |  69 |  71 |  48
140 |  63 | 1.23 |  66 |  65 |  74
120 |  64 | 1.05 |  62 |  45 |  51
140 |  62 | 1.21 |  50 |  52 |  48
160 |  61 | 1.3 |  71 |  59 |  72
160 |  62 | 1.37 |  71 |  61 |  65
140 |  63 | 1.23 |  42 |  39 |  38
130 |  64 | 1.18 |  73 |  49 |  65
130 |  62 | 1.25 |  53 |  47 |  49
140 |  61 | 1.27 |  60 |  43 |  40
140 |  64 | 1.07 |  64 |  49 |  59
130 |  62 | 1.25 |  69 |  59 |  59
130 |  62 | 1.15 |  62 |  43 |  57
140 |  62 | 1.23 |  66 |  41 |  57
140 |  63 | 1.23 |  75 |  45 |  70
140 |  61 | 1.25 |  68 |  36 |  48
140 |  61 | 1.23 |  44 |  45 |  53
140 |  62 | 1.28 |  64 |  47 |  61
140 |  62 | 1.32 |  64 |  47 |  61
140 |  63 | 1.3 |  80 |  57 |  65
140 |  62 | 1.23 |  89 |  64 |  70
125 |  63 | 1.23 |  77 |  69 |  76
120 |  62 | 1.26 |  80 |  72 |  57
150 |  60 | 1.27 |  53 |  40 |  57
140 |  63 | 1.25 |  53 |  43 |  34
125 |  64 | 1.27 |  65 |  40 |  43
180 |  61 | 1.33 |  53 |  25 |  44
160 |  65 | 1.28 |  44 |  38 |  38
170 |  62 | 1.28 |  62 |  57 |  57
180 |  62 | 1.3 |  58 |  55 |  44
170 |  62 | 1.25 |  73 |  59 |  67
140 |  62 | 1.38 |  71 |  62 |  59
170 |  62 | 1.52 |  68 |  52 |  57
160 |  61 | 1.38 |  56 |  40 |  54
160 |  60 | 1.36 |  56 |  57 |  48
150 |  63 | 1.34 |  73 |  65 |  68
120 |  62 | 1.23 |  51 |  43 |  49
190 |  62 | 1.3 |  73 |  59 |  67
140 |  63 | 1.3 |  58 |  65 |  41
140 |  62 | 1.35 |  71 |  61 |  61
140 |  61 | 1.38 |  69 |  77 |  70
125 |  61 | 1.35 |  80 |  81 |  72
150 |  59 | 1.37 |  75 |  79 |  76
180 |  62 | 1.38 |  64 |  57 |  59
170 |  60 | 1.32 |  74 |  55 |  68
160 |  59 | 1.35 |  83 |  69 |  64
160 |  62 | 1.25 |  71 |  52 |  57
160 |  63 | 1.25 |  98 |  67 |  75
160 |  62 | 1.38 |  64 |  45 |  61
180 |  61 | 1.15 |  35 |  52 |  30
125 |  60 | 1.21 |  41 |  48 |  27
180 |  62 | 1.3 |  56 |  52 |  48
200 |  62 | 1.4 |  56 |  40 |  57
150 |  64 | 1.21 |  47 |  43 |  51
130 |  62 | 1.4 |  51 |  51 |  51
120 |  61 | 1.4 |  60 |  59 |  55
160 |  61 | 1.36 |  74 |  60 |  59
150 |  64 | 1.25 |  80 |  81 |  64
150 |  64 | 1.28 |  86 |  84 |  70
155 |  62 | 1.27 |  49 |  43 |  51
125 |  64 | 1.23 |  53 |  45 |  49
120 |  64 | 1.25 |  53 |  59 |  57
120 |  65 | 1.25 |  80 |  77 |  63
160 |  61 | 1.36 |  60 |  43 |  57
150 |  62 | 1.35 |  53 |  45 |  53
130 |  63 | 1.25 |  60 |  49 |  55
130 |  65 | 1.28 |  69 |  51 |  59
200 |  63 | 1.35 |  42 |  41 |  34
150 |  61 | 1.25 |  60 |  67 |  55
130 |  65 | 1.22 |  58 |  73 |  57
140 |  64 | 1.17 |  50 |  55 |  64
190 |  63 | 1.45 |  50 |  40 |  45
170 |  62 | 1.46 |  60 |  59 |  55
160 |  64 | 1.4 |  50 |  38 |  59
130 |  65 | 1.38 |  98 |  67 |  75
140 |  62 | 1.3 |  75 |  63 |  80
160 |  62 | 1.28 |  53 |  41 |  53
160 |  63 | 1.3 |  53 |  45 |  49
170 |  63 | 1.37 |  89 |  79 |  82
110 |  62 | 1.35 | 101 |  88 |  84
130 |  63 | 1.37 | 110 |  98 |  89
160 |  62 | 1.3 |  65 |  45 |  64
160 |  60 | 1.32 |  65 |  48 |  66
140 |  62 | 1.27 |  74 |  60 |  59
120 |  66 | 1.28 |  56 |  52 |  61
150 |  62 | 1.27 |  49 |  53 |  46
150 |  60 | 1.31 |  64 |  67 |  74
150 |  60 | 1.38 |  60 |  39 |  63
170 |  61 | 1.3 |  62 |  75 |  63
130 |  62 | 1.32 |  66 |  65 |  67
200 |  62 | 1.37 |  68 |  52 |  59
140 |  64 | 1.34 |  58 |  49 |  63
160 |  61 | 1.32 |  75 |  78 |  68
140 |  63 | 1.25 |  58 |  49 |  61
125 |  62 | 1.38 |  71 |  49 |  53
180 |  61 | 1.35 |  71 |  79 |  52
145 |  63 | 1.38 |  56 |  64 |  59
160 |  64 | 1.38 |  68 |  72 |  54
190 |  62 | 1.15 |  62 |  51 |  53
180 |  62 | 1.23 |  49 |  53 |  57
160 |  63 | 1.36 |  49 |  47 |  49
140 |  62 | 1.3 |  60 |  51 |  63
180 |  62 | 1.3 |  66 |  55 |  57
180 |  62 | 1.3 |  80 |  63 |  67
180 |  64 | 1.35 |  58 |  63 |  63
145 |  67 | 1.3 |  69 |  65 |  57
140 |  64 | 1.28 |  73 |  57 |  74
180 |  63 | 1.34 |  64 |  59 |  55
200 |  61 | 1.32 |  60 |  57 |  46
200 |  58 | 1.27 |  71 |  53 |  68
140 |  64 | 1.35 |  38 |  40 |  43
125 |  64 | 1.27 |  74 |  55 |  64
130 |  62 | 1.28 |  71 |  55 |  70
200 |  61 | 1.33 |  84 |  57 |  78
145 |  62 | 1.27 |  66 |  39 |  53
150 |  62 | 1.27 |  69 |  59 |  57
140 |  63 | 1.23 |  68 |  67 |  75
140 |  65 | 1.25 | 120 |  79 |  82
140 |  63 | 1.12 |  58 |  45 |  61
145 |  61 | 1.22 |  78 |  67 |  82
170 |  64 | 1.35 |  66 |  49 |  51
120 |  66 | 1.08 |  86 |  83 |  83
120 |  63 | 1.12 |  80 |  77 |  63
140 |  63 | 1.35 |  62 |  50 |  50
155 |  67 | 1.37 |  58 |  53 |  61
160 |  62 | 1.3 |  60 |  57 |  49
140 |  62 | 1.3 |  64 |  69 |  53
130 |  65 | 1.22 |  73 |  51 |  59
220 |  61 | 1.35 |  75 |  69 |  57
140 |  63 | 1.35 |  56 |  52 |  57
140 |  63 | 1.23 |  62 |  47 |  53
140 |  64 | 1.25 |  64 |  55 |  59
150 |  63 | 1.22 |  69 |  45 |  59
180 |  62 | 1.28 |  73 |  65 |  59
150 |  63 | 1.25 |  62 |  69 |  76
160 |  62 | 1.28 |  66 |  51 |  70
190 |  62 | 1.33 |  84 |  67 |  75
160 |  63 | 1.3 |  62 |  59 |  49
200 |  62 | 1.28 |  58 |  51 |  55
160 |  62 | 1.27 |  80 |  72 |  66
155 |  63 | 1.27 |  58 |  55 |  57
150 |  62 | 1.22 |  51 |  51 |  46
210 |  63 | 1.3 |  58 |  55 |  53
210 |  65 | 1.3 |  66 |  57 |  63
190 |  64 | 1.27 |  97 |  75 |  71
190 |  61 | 1.3 |  78 |  49 |  74
135 |  63 | 1.37 |  65 |  79 |  54
160 |  64 | 1.27 |  97 |  75 |  71
140 |  63 | 1.23 |  69 |  63 |  65
130 |  62 | 1.25 |  78 |  51 |  86
160 |  62 | 1.25 |  64 |  57 |  74
160 |  63 | 1.25 |  64 |  57 |  74
170 |  65 | 1.21 |  66 |  47 |  72
140 |  65 | 1.23 |  80 |  55 |  82
170 |  62 | 1.28 |  56 |  60 |  54
210 |  63 | 1.44 |  71 |  60 |  70
160 |  62 | 1.32 |  62 |  51 |  51
