188.7298 |  153.8305
210.9481 |  86.4186
77.0275 |  53.1040
182.9244 |  136.5419
81.9537 |  15.1895
143.6452 |  126.7577
198.6909 |  34.8083
91.6829 |  -9.3966
187.0904 |  95.6916
75.1133 |  19.7702
88.4505 |  36.9748
84.3749 |  -61.0577
103.9638 |  -19.0943
205.4080 |  112.8692
103.5975 |  4.9368
131.9645 |  -32.9070
91.4312 |  -23.1288
89.6228 |  -0.3936
123.9895 |  30.1157
102.4984 |  -29.4945
169.5743 |  76.2649
175.6912 |  71.2769
153.5733 |  128.3581
152.2892 |  121.4880
169.0133 |  71.6722
183.1884 |  94.8567
103.0521 |  23.2901
100.7565 |  50.2192
150.1228 |  113.5789
133.4207 |  121.2527
101.6526 |  63.6574
174.6151 |  86.9967
114.9824 |  -12.2313
167.1320 |  144.1198
115.4510 |  -23.8732
94.6845 |  -28.2876
82.4098 |  -7.1895
168.3285 |  129.0890
167.4447 |  95.0863
158.0967 |  99.5634
98.1236 |  39.0893
111.6244 |  20.7431
106.4012 |  -9.8887
128.6721 |  27.3593
204.8490 |  107.2183
166.4049 |  95.4505
84.0451 |  5.0440
179.6802 |  145.0988
104.1146 |  45.0757
158.1425 |  72.8184
192.7462 |  98.0808
89.4838 |  28.5447
190.2476 |  121.5278
159.6632 |  56.3679
129.7108 |  10.8326
164.0491 |  96.9743
118.6350 |  40.1986
187.5505 |  108.1807
93.8768 |  4.2343
156.6759 |  90.4878
156.4152 |  121.5958
169.3592 |  85.3089
162.9362 |  91.7610
125.2472 |  17.8780
85.5005 |  -43.3136
152.6605 |  92.7729
116.6247 |  27.7011
82.0633 |  -22.0820
167.4639 |  67.7923
75.4533 |  -6.2115
128.9112 |  98.5115
177.2937 |  77.6318
180.8728 |  144.8211
84.5311 |  -43.2943
104.1283 |  -6.6793
163.0724 |  132.7103
157.0122 |  112.7695
159.6233 |  116.7448
105.3238 |  -8.7944
125.6251 |  76.9529
159.7540 |  95.4657
127.0003 |  -13.3739
161.1229 |  74.4890
152.1131 |  165.6515
99.3825 |  -59.4169
134.0223 |  126.8498
182.6294 |  135.3543
120.9826 |  49.6599
93.9604 |  29.6742
94.2664 |  38.6796
95.5193 |  61.4978
169.5856 |  75.8891
155.7984 |  161.2738
101.3998 |  18.6919
108.1199 |  148.1783
180.1379 |  122.6634
101.2976 |  -12.0745
159.1145 |  137.0092
201.1082 |  91.5975
204.9666 |  164.9497
